epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.788577,0.176984,1.769744,0.174074,0.01
2,1.764817,0.190476,1.755757,0.192593,0.01
3,1.754754,0.211905,1.747285,0.351852,0.01
4,1.737515,0.226984,1.724795,0.237037,0.01
5,1.721499,0.261905,1.711385,0.325926,0.01
6,1.696283,0.270635,1.691792,0.303704,0.01
7,1.67187,0.294444,1.677373,0.251852,0.01
8,1.665397,0.284127,1.649372,0.311111,0.01
9,1.650417,0.314286,1.641467,0.296296,0.01
10,1.601952,0.345238,1.614059,0.3,0.01
11,1.588247,0.32381,1.560189,0.414815,0.01
12,1.573745,0.311905,1.542603,0.411111,0.01
13,1.548153,0.349206,1.539916,0.344444,0.01
14,1.546237,0.361905,1.511391,0.362963,0.01
15,1.493055,0.377778,1.491673,0.418519,0.01
16,1.515036,0.37381,1.540537,0.337037,0.01
17,1.53361,0.356349,1.449096,0.488889,0.01
18,1.499901,0.365873,1.501084,0.488889,0.01
19,1.502402,0.361905,1.491375,0.340741,0.01
20,1.491892,0.377778,1.37567,0.525926,0.01
